"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Public Schools","Bridgeport School District",="0152511","Read School","130 Ezra St.","Bridgeport","CT","06606-5061","203-576-8030",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=347",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bridgeport School District",="0152611","Roosevelt School","680 Park Ave.","Bridgeport","CT","06604-4610","203-576-8032",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=192",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bridgeport School District",="0151311","Thomas Hooker School","138 Roger Williams Rd.","Bridgeport","CT","06610-1398","203-576-7185",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=343",,,,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bridgeport School District",="0153011","Waltersville School","150 Hallett Street","Bridgeport","CT","06608-2618","203-275-2400",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=10",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bridgeport School District",="0156311","Warren Harding High School","1734 Central Ave.","Bridgeport","CT","06610-2763","203-576-7330",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=352",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Bridgeport School District",="0153911","Wilbur Cross School","1775 Reservoir Ave.","Bridgeport","CT","06606-1434","203-275-2100",,"http://bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid=11",,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0170211","ACCESS","Redstone Hill Road","Bristol","CT",="06010","860-584-7052",,"http://bristol.k12.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Bristol School District",="0179011","Alternative Special Education Program (ASEP)","632 King St.","Bristol","CT","06010-4477","860-584-7058",,,,"Special Education",,="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Bristol School District",="0172911","BECC Autism","240 Stafford Avenue","Bristol","CT",="06010","860-584-3335","860-585-4307",,,"Special Education",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Bristol School District",="0170117","Bristol Adult Education","210 Redstone HillRd","Bristol","CT",="06010","860-584-7865","860-584-4898","http://www.bristol.k12.us/adulted",,,,,,,,,,,,,,,,,
"Public Schools","Bristol School District",="0176111","Bristol Central High School","480 Wolcott St.","Bristol","CT","06010-6480","860-584-7735",,,,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Bristol School District",="0170411","Bristol Early Childhood Center-BECC","240 Stafford Avenue","Bristol","CT",="06010","860-584-7072",,,,,,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0176211","Bristol Eastern High School","632 King St.","Bristol","CT","06010-4477","860-584-7876",,,,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Bristol School District",="0173311","Bristol Preparatory Academy","210 Redstone Hill Road","Bristol","CT",="06010","860-584-7709",,"http://www.bristol.k12.ct.us/page.cfm?p=9009",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Bristol School District",="0170011","Bristol School District","129 Church Street, Box 450","Bristol","CT",="06011","860-584-7000",,"http://www.bristol.k12.ct.us/",,,,,,,,,,,,,,,,,
"Public Schools","Bristol School District",="0175111","Chippens Hill Middle School","551 Peacedale St.","Bristol","CT","06010-8939","860-584-3881",,,,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0171011","Chippens Hill Middle School Functional Program","551 Peacedale Street","Bristol","CT",="06010","860-584-3881","860-584-4833",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0171611","Chippens Hill Middle School Medically Fragile","551 Peacedale Street","Bristol","CT",="06010","860-584-3881",,"http://www.bristol.k12.ct.us",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0170811","Chippens Hilll Middle School Extended Resource","551 Peacedale Street","Bristol","CT",="06010","860-584-3881",,"http://www.bristolk12.org",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0173411","Chms Goal","551 Peacedale Street","Bristol","CT",="06010","860-584-3881",,,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0179211","Community/Vocational Program","480 Wolcott Street","Bristol","CT",="06010","860-584-7735",,"http://bristol.k12.ct.us",,"Public School-Based Transition Program",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Bristol School District",="0170311","Edgewood School","345 Mix St.","Bristol","CT","06010-2785","860-584-7827",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0171411","Ellen P. Hubbell School","90 West Washington St.","Bristol","CT","06010-5444","860-584-7842",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0173611","Extended Resource Self-Contained","500 Clark Avenue","Bristol","CT",="06010","860-584-7815",,"http://www.bristol.k12.ct.us/page.cfm?p=9151",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0170911","Greene-Hills GOAL","718 Pine Street","Bristol","CT",="06010","860-584-7822","860-314-4632",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0170511","Greene-Hills School","718 Pine St.","Bristol","CT","06010-6923","860-584-7822",,,,,,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0173711","Hubbell Autism Program","W. Washington St","Bristol","CT",="06010","860-584-7842",,"http://www.bristolk12.org",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172111","Hubbell/Extended Resource","90 W. Washington Street","Bristol","CT",="06010","860-584-7842","860-584-3886",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172211","Ivy Drive Extended Resource","160 Ivy Drive","Bristol","CT",="06010","860-584-7844","860-584-3876",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172611","Ivy Drive GOAL","160 Ivy Drive","Bristol","CT",="06010","860-584-7844","860-584-3876","http://www.bristol.k12.ct.us/page.cfm?p=9009",,"Special Education",,="0",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172311","Ivy Drive Medically Fragile","160 Ivy Drive","Bristol","CT",="06010","860-584-7844","860-584-3876","http://http://www.bristol.k12.ct.us/page.cfm?p=9009",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0171911","Ivy Drive School","160 Ivy Dr.","Bristol","CT","06010-3303","860-584-7844",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0171711","Mountain View School","71 Vera Rd.","Bristol","CT","06010-4857","860-584-7726",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172411","Mt. View Extended Resource","71 Vera Road","Bristol","CT",="06010","860-584-7726","860-314-4629",,,"Special Education",,="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172511","Mt. View GOAL","71 Vera Road","Bristol","CT",="06010","860-584-7726",,,,"Special Education",,="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0172711","Northeast MS/Extended Resource","530 Stevens Street","Bristol","CT",="06010","860-584-7839","860-584-7837",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0172811","Northeast MS/GOAL","530 Stevens Street","Bristol","CT",="06010","860-584-7839","860-584-7837",,,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0175211","Northeast Middle School","530 Stevens St.","Bristol","CT","06010-2587","860-584-7839",,,,,,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Bristol School District",="0173011","South Side Extended Resource","21 Tuttle Road","Bristol","CT",="06010","860-584-7812","860-584-7810",,,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0173111","South Side GOAL","21 Tuttle Road","Bristol","CT",="06010","860-584-7812","860-584-7810","http://www.bristol.k12.ct.us/page.cfm?p=8888",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0171111","South Side School","21 Tuttle Rd.","Bristol","CT","06010-7147","860-584-7812",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Bristol School District",="0173211","Stafford Autism","212 Louisiana Ave","Bristol","CT",="06010","860-584-7826","860-314-4631",,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0171211","Stafford School","212 Louisiana Ave.","Bristol","CT","06010-4456","860-584-7824",,,,,,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Bristol School District",="0172011","West Bristol School","500 Clark Avenue","Bristol","CT",="06010","860-584-7815",,,,,,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Brookfield School District",="0186111","Brookfield High School","45 Long Meadow Hill Rd.","Brookfield","CT","06804-1311","203-775-7725",,"http://www.brookfield.k12.ct.us/brookfield-high-school",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public School Districts","Brookfield School District",="0180011","Brookfield School District","100 Pocono Road","Brookfield","CT",="06804","203-775-7700",,"http://brookfield.k12.ct.us/",,,,,,,,,,,,,,,,,
"Public Schools","Brookfield School District",="0180311","Center Elementary School","8 Obtuse Hill Road","Brookfield","CT",="06804","203-775-7650","203-775-7672","http://www.brookfield.k12.ct.us/center-elementary-school",,,,="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Brookfield School District",="0180411","Huckleberry Hill Elementary School","100 Candlewood Lake Rd.","Brookfield","CT","06804-2228","203-775-7675","203-775-7684","http://www.brookfield.k12.ct.us/huckleberry-hill-elementary",,,,="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Brookfield School District",="0185311","Whisconier Middle School","17 West Whisconier Rd.","Brookfield","CT",="06804","203-775-7710","203-775-7615","http://www.brookfield.k12.ct.us/whisconier-middle-school",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Brooklyn School District",="0190111","Brooklyn Elementary School","119 Gorman Rd.","Brooklyn","CT","06234-1805","860-774-7577",,"http://www.brooklyn.ctschool.net/beshp.htm",,,,="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Brooklyn School District",="0195111","Brooklyn Middle School","119 Gorman Rd.","Brooklyn","CT","06234-1805","860-774-9153",,"http://www.brooklyn.ctschool.net/middle/mainpage/bmsindex.htm",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Brooklyn School District",="0190011","Brooklyn School District","119 Gorman Road","Brooklyn","CT",="06234","860-774-9153",,"http://www.brooklynschools.org",,,,,,,,,,,,,,,,,
"Public School Districts","Canaan School District",="0210011","Canaan School District","246 Warren Turnpike Road","Falls Village","CT",="06031","860-824-7791",,"http://www.kelloggschool.org",,,,,,,,,,,,,,,,,
"Public Schools","Canaan School District",="0210111","Lee H. Kellogg School","47 Main St.","Falls Village","CT",="06031","860-824-7791","860-824-7892","http://www.kelloggschool.org",,,,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Canterbury School District",="0220211","Canterbury Elementary School","67 Kitt Rd.","Canterbury","CT","06331-1122","860-546-6744",,"http://www.canterburypublicschools.org",,,,="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public School Districts","Canterbury School District",="0220011","Canterbury School District","45 Westminster Road","Canterbury","CT",="06331","860-546-6950",,"http://www.canterburypublicschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Canterbury School District",="0225111","Dr. Helen Baldwin Middle School","45 Westminster Rd.","Canterbury","CT","06331-1538","860-546-9421",,"http://www.canterburypublicschools.org",,,,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Canton School District",="0230411","Canton Academy","76 Simonds Avenue","Canton","CT",="06019","860-693-7707",,"http://www.cantonschools.org",,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Canton School District",="0236111","Canton High School","76 Simonds Avenue","Canton","CT","06019-1207","860-693-7707",,"http://www.cantonschools.org/chs",,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Canton School District",="0230311","Canton Intermediate School","39 Dyer Ave.","Canton","CT",="06019","860-693-7717",,"http://www.cantonschools.org/cis",,,,="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Canton School District",="0235111","Canton Middle School","76 Simonds Avenue","Canton","CT","06019-1207","860-693-7712",,,,,,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Public School Districts","Canton School District",="0230011","Canton School District","4 Market Street","Collinsville","CT",="06022","860-693-7704",,"http://www.cantonschools.org",,,,,,,,,,,,,,,,,
"Public Schools","Canton School District",="0230211","Cherry Brook Primary School","4 Barbourtown Rd.","Canton","CT","06019-1702","860-693-7721",,"http://www.cantonschools.org",,,,="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Colleges and Universities","Capital Community College",="5760038","Capital Community College","950 Main St.","Hartford","CT",="06103","860-906-5000",,,,,,,,,,,,,,,,,,,
"Public Charter Schools","Capital Preparatory Harbor School Inc. District",="2970113","Capital Preparatory Harbor School Inc.","777 Main Street","Bridgeport","CT",="06604","475-422-5900",,"http://www.capitalprepharbor.org",,,,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Capital Preparatory Harbor School Inc. District",="2970013","Capital Preparatory Harbor School Inc. District","777 Main St.","Bridgeport","CT",="06604","475-422-5900",,"http://capitalprepharbor.org/",,,,,,,,,,,,,,,,,
"Regional Education Service Center Schools","Capitol Region Education Council",="2415114","Academy of Aerospace and Engineering","1101 Kennedy Road","Windsor","CT",="06095","860-757-6347",,"http://www.crecschools.org/",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410714","Academy of Aerospace and Engineering Elementary","525 Brook Street","Rocky Hill","CT",="06067","860-529-1652","860-247-1949","http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Capitol Region Education Council",="2416514","Academy of Science and Innovation","600 Slater Road","New Britain","CT",="06053","860-298-0602",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410614","Ana Grace Academy of the Arts Elementary School","20 Security Drive","Avon","CT",="06001","860-726-9367",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center School Districts","Capitol Region Education Council",="2410014","Capitol Region Education Council","111 Charter Oak Avenue","Hartford","CT",="06106","860-524-4063",,,,,,,,,,,,,,,,,,,
"Adult Education Providers","Capitol Region Education Council",="2410117","Crec Adult Education","55 Van Dyke Avenue","Hartford","CT",="06106","860-509-3644","860-525-1556","http://www.crec.org",,,,,,,,,,,,,,,,,
"Regional Education Service Center Schools","Capitol Region Education Council",="2418114","Discovery Academy","176 Cumberland Avenue","Wethersfield","CT",="06109","860-296-2090",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419214","Farmington Valley Regional Diagnostic Center","125 Latimer Lane","Simsbury","CT",="06089","860-675-5480",,,,"Special Education",,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410114","Glastonbury/East Hartford Magnet School","95 Oak Street","Glastonbury","CT",="06033","860-633-4455",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Capitol Region Education Council",="2416414","Greater Hartford Academy of  the Arts High School - Full Time","15 Vernon St.","Hartford","CT",="06106","860-757-6321",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Capitol Region Education Council",="2419900","Greater Hartford Academy of Arts - Part Time","15 Vernon Street","Hartford","CT",="06106","860-757-6321",,,,"Part-time Magnet","Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2415314","Greater Hartford Academy of the Arts Magnet Middle","140 Huyshope Avenue","Hartford","CT",="06106","860-724-0685",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419414","IPM @ Plainville High School","47 Robert Holcomb Way","Plainville","CT",="06062","860-298-9079",,,,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410414","International Magnet School for Global Citizenship","625 Chapel Road","South Windsor","CT",="06074","860-291-6001",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419014","John J. Allison Polaris Center","474 School St.","East Hartford","CT",="06108","860-289-8131",,,,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Capitol Region Education Council",="2419614","Lincoln Academy Regional Interdistrict Collaborative","474 School St.","East Hartford","CT",="06108","860-289-8131",,,,"Special Education",,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2416114","Metropolitan Learning Center for Global and International Studies","1551 Blue Hills Ave.","Bloomfield","CT",="06002","860-242-7834",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2413114","Montessori Magnet School","1460 Broad St.","Hartford","CT",="06106","860-757-6117",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410514","Museum Academy","11 Turkey Hill Road","Bloomfield","CT",="06002","860-231-7800",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Capitol Region Education Council",="2415214","PSA Civic Leadership High School","1617 King Street","Enfield","CT",="06082","860-253-0274",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410314","Reggio Magnet School of the Arts","59 Waterville Road","Avon","CT",="06001","860-674-8549",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419314","River Street School","601 River St.","Windsor","CT",="06095","860-298-9079",,,,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Capitol Region Education Council",="2419514","River Street School Birken Campus","1289 Blue Hills Avenue","Bloomfield","CT",="06002","860-727-8481",,,,"Special Education",,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Capitol Region Education Council",="2411414","River Street School Early Learning Center","1289 Blue Hills Avenue","Bloomfield","CT",="06002","860-727-8481","860-722-9438","http://www.crec.org/rsp/",,"Pre-Kindergarten",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419114","Soundbridge","123 Progress Dr.","Wethersfield","CT",="06109","860-529-4260",,,,"Special Education",,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2411614","Soundbridge @ Bristol Central HS","480 Wolcott Street","Bristol","CT",="06010","860-529-4260 x4202",,"http://www.crec.org/soundbridge/",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Capitol Region Education Council",="2411514","Soundbridge @ Chippens Hill MS Bristol","551 Peacedale Street","Bristol","CT",="06010","860-529-4260 x4202",,"http://www.crec.org/soundbridge/",,"Special Education",,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2411714","Soundbridge@Mountain View Elementary School","71 Vera Road","Bristol","CT",="06010","860-529-4260 x4202",,"http://www.crec.org/soundbridge/",,"Special Education",,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Capitol Region Education Council",="2419714","Strive (Southern Transition Real-World and Independent Vocational Education Program","116 East Main Street","Clinton","CT",="06413","860-664-5344",,,,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Regional Education Service Center Schools","Capitol Region Education Council",="2415014","Two Rivers Magnet Middle School","337 East River Dr.","East Hartford","CT",="06108","860-290-5320",,"http://www.crec.org/schools/magnet.php",,,"Yes",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Regional Education Service Center Schools","Capitol Region Education Council",="2410214","University of Hartford Magnet School","196 Bloomfield Ave.","West Hartford","CT",="06117","860-236-2899",,"http://www.crec.org/schools/magnet.php",,,"Yes",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Colleges and Universities","Central Connecticut State University",="7010038","Central Connecticut State University","1615 Stanley St.","New Britian","CT",="06050","860-832-3200",,,,,,,,,,,,,,,,,,,
"Public Schools","Chaplin School District",="0240211","Chaplin Elementary School","240 Palmer Rd.","Chaplin","CT",="06235","860-455-9593",,"http://www.chaplinschool.org",,,,="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public School Districts","Chaplin School District",="0240011","Chaplin School District","Box 277, 304 Parish Hill","Chaplin","CT",="06235","860-455-9306",,,,,,,,,,,,,,,,,,,
"Public Schools","Cheshire School District",="0250111","Chapman School","38 Country Club Rd.","Cheshire","CT","06410-1630","203-272-3591",,,,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Adult Education Providers","Cheshire School District",="0250117","Cheshire Adult Education","525 Main Street","Cheshire","CT",="06410","203-250-2450","203-250-2444","http://www.cheshire.k12.ct.us",,,,,,,,,,,,,,,,,
"Public Schools","Cheshire School District",="0256111","Cheshire High School","525 South Main St.","Cheshire","CT","06410-3198","203-250-2511",,,,,,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Cheshire School District",="0250311","Cheshire Quinnipiac University Transition Collaborative","370 Bassett Drive","North Haven","CT",="06473","203-250-2431","203-250-2446",,,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public School Districts","Cheshire School District",="0250011","Cheshire School District","29 Main Street","Cheshire","CT",="06410","203-250-2400",,"http://www.cheshire.k12.ct.us/",,,,,,,,,,,,,,,,,
"Public Schools","Cheshire School District",="0250211","Darcey School","1686 Waterbury Rd.","Cheshire","CT","06410-1331","203-272-3577",,,,,,="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Cheshire School District",="0255111","Dodd Middle School","100 Park Place","Cheshire","CT","06410-2145","203-272-3249",,,,,,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0"
"Public Schools","Cheshire School District",="0250611","Doolittle School","735 Cornwall Ave.","Cheshire","CT","06410-2617","203-272-3549",,,,,,="0",="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public Schools","Cheshire School District",="0250411","Highland School","490 Highland Ave.","Cheshire","CT","06410-2518","203-272-0335",,,,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Cheshire School District",="0250711","Highland School Autism Program","490 Highland Avenue","Cheshire","CT",="06410","203-250-2422","203-250-2446",,,"Special Education",,="0",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0"
"Program","Cheshire School District",="0250911","Humiston Alternative School","30 Spring Street","Cheshire","CT",="06410","203-250-2442","203-250-2468",,,"Alternative",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Cheshire School District",="0250511","Norton School","414 North Brooksvale Rd.","Cheshire","CT","06410-3340","203-272-7283",,,,,,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Cheshire School District",="0251011","QU College Life","275 Mount Carmel Avenue","Hamden","CT",="06518","203-250-2542",,,,"Transition Community-Based",,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
