Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
WINDSOR,JG,2009,165,164,H,63449890,23962246,87412136,-1652345,21033244,76562176,100503089,63321537,6271961,90874473,539456,539456,8770185,8770185,1397887,260192,1397887,0,,39265000,39265000,578564,1149905,15268657,N,,Y,N,76374720,75475905,0.988231511683447,77407810,76105856,0.983180586041641,,,29.63,,4533063158.73,,0.079659892661159,29.3,4461.22,
WINDSOR LOCKS,JG,2009,166,165,H,46763197,21962668,68729700,2053322,14907575,28048574,44417601,28780888,2099394,42777954,130537,130537,2071872,2071872,-301688,397369,-301688,0,,12286689,12286689,346809,1500000,9512289,N,,N,N,27792515,27197116,0.978577001757488,28785206,27656146,0.96077637936654,,,9.029999999999999,,2103647831.83,,0.088746696341633,23.57,1972.51,
WOLCOTT,JG,2009,167,166,NH,44475262,12658250,57133512,-1299458,19137742,31148703,51293437,34412326,5109100,52520970,939082,939082,41000,41000,-329451,-56333,-329451,0,,32840655,32840655,203421,0,1729972,N,,N,N,30884784,30063569,0.973410369326203,32464776,30784531,0.948244059962095,,,20.43,,2032777268.31,,0.085503089143866,22.69,3099.48,
WOODBRIDGE,JG,2009,168,167,NH,45329510,9466574,55067963,1351760,2017833,37992464,41396144,25361808,2076055,39790388,39214,39214,1669414,1669414,-24444,84004,-24444,0,18715829.11,18338404,37054233.11,377279,400000,5385986,N,,N,N,37537277,37272674,0.992950927154359,37856033,37450073,0.989276213912852,,,18.829999999999998,,1958317508.69,,0.047549833887043,30.83,1574.78,
WOODBURY,JG,2009,169,168,L,18931481,4318832,23734315,780659,1336615,25978412,29226911,19489236,361380,28945127,0,0,116831,116831,164953,292965,164953,0,4210832.82,2930000,7140832.82,174821,839766,3201830,N,,N,N,25687041,25312445,0.985416926768638,26306538,25555468,0.971449302831106,,,36.47,,1914051565.46,,0.06745886654479,24.35,1445.44,
WOODSTOCK,JG,2009,170,169,W,16715670,5923675,24818000,550090,7457258,13806333,21746008,16072398,1057092,21118321,242422,273577,532789,532789,337320,-37973,368475,0,,4483495,4483495,635445,395000,2773641,N,,N,N,13720596,13521480,0.985487802424909,14003909,13687314,0.977392383797981,,,60.54,,1110064076.31,,0.068070623271644,17.5,1411.77,
ANDOVER,BP,2010,1,1,T,5971683,2265619,8354767,132438,2378006,7692664,10158446,7844581,221444,9691506,2454,2454,164405,164405,304989,337566,304989,0,4593365.82,1080000,5673365.82,23600,0,1700318,Y,1676718,N,N,7543508,7498858,0.994081003161924,7670979,7612306,0.992351302226222,3305,,15.45,273376069,376368493.96,8,0.072815533980583,27.6,631.35,Capital Region COG
ANSONIA,BP,2010,2,2,NH,30648977,19552172,50207878,-937437,26465983,28819951,57791187,32282747,8982720,57010349,0,0,0,0,780838,961217,780838,0,,25054330,25054330,2589084,309974,9210616,N,6621532,N,N,29387424,28460138,0.968446162548987,31832641,29235841,0.918423356704836,19283,A1,6.03,1164802258,1533969463.52,302,0.109928741092637,25.25,2867.97,Valley COG
ASHFORD,BP,2010,3,3,W,11373113,3927424,15395534,254671,5101308,8390817,14031472,10885166,536021,13627610,0,0,245640,245640,158222,-619383,158222,0,2843691.07,3675000,6518691.07,0,150000,1767465,N,1767465,N,N,8371275,8216323,0.981490035866699,8792801,8319109,0.946127292088153,4319,Aa3,38.799999999999997,338733226,462339581.41,32,0.082947530864197,24.65,696.74,Windham Region COG
AVON,KE,2010,4,4,H,109234397,8985086,118219483,2483375,5477312,61251149,68466476,45144616,5080764,67761526,335809,335809,1193742,1193742,-152983,577298,-152983,0,,36770000,36770000,0,448442,5100539,N,5100539,N,N,61073939,60965260,0.998220533966214,61193847,61062537,0.997854196027257,18145,Aaa,23.12,2605892030,3744303900,14,0.060870468474083,23.41,3616.52,Capital Region COG
BARKHAMSTED,JG,2010,5,5,L,4198760,2903683,7102443,-372193,2045723,8122029,10315687,8464826,0,10307196,80395,80395,153375,153375,-64489,-6237,-64489,0,1871068.01,0,1871068.01,3452,100000,1418781,N,1415329,N,N,8092241,7928572,0.979774576659296,8512289,8074797,0.948604658511947,3807,,36.22,367111492,527705388.57,7,0.09234715690466,22.03,671.83,Litchfield Hills Cncl of Elected Ofcls
BEACON FALLS,BP,2010,6,6,NH,9130218,2310863,11829735,2679579,4378865,12828491,17537157,12534084,419468,17924817,265000,389000,179300,179300,-301960,-11666,-177960,0,9149317.02,2931920,12081237.02,0,200000,1069481,Y,1069481,N,N,12619510,12190644,0.966015637691162,13258903,12430242,0.937501541417114,6062,,9.77,525195140,685384413.74,20,0.096148276860701,24.23,1038.9000000000001,COG of Central Naugatuck Valley
BERLIN,KE,2010,7,7,H,56765965,19081655,76002030,306877,11239269,51226824,67266980,42342339,1578234,67177138,254547,4899547,594060,5409307,-249671,-319308,-419918,0,,13260000,13260000,0,1300000,8779806,N,8779806,N,N,51124528,50315554,0.984176401589468,52568314,50836464,0.967055249289524,19901,Aa2,26.45,2246374363,3211952015.36,29,0.080452656705862,22.69,3219.34,Central CT RPA
BETHANY,JG,2010,8,8,NH,17491793,4373533,22067334,-155661,3281826,16745660,20822855,15467143,1037688,20327253,0,0,380100,380100,115502,-120288,115502,0,11256639.45,6835748,18092387.45,127238,0,2709413,Y,2582175,N,N,16634942,16495305,0.991605801811632,16912662,16663398,0.985261693280455,5578,Aa2,20.96,616703798,886672444.29,4,0.072860324530703,27,1039.5899999999999,South Central Regional COG
BETHEL,JG,2010,9,9,F,62262355,8122511,70713698,3337486,11350228,49385189,61871861,38917838,4058700,61239489,0,0,595166,595166,37206,132848,37206,0,,37953097,37953097,583080,0,7027133,N,6444053,Y,N,49090160,48405405,0.986051074186762,50034431,49125725,0.981838386450323,18600,Aa2,16.79,2287532530,3103236798.04,65,0.07799671592775,21.64,3061.31,Housatonic Council of Elected Ofcls
BETHLEHEM,BP,2010,10,10,L,4647825,2754256,7402081,634163,1303034,8574722,10089587,6808906,166974,9261747,0,0,403313,403313,424527,267028,424527,0,1223382.82,0,1223382.82,1626,300000,1175296,N,1173670,N,N,8488564,8302768,0.978112198953792,8893100,8463300,0.951670396149824,3616,,19.36,398161162,569541445.71,14,0.078755469129801,21.41,495.04,COG of Central Naugatuck Valley
BLOOMFIELD,JG,2010,11,11,H,73964394,-16903582,63204943,7162633,10277496,62139854,74327375,40445920,3275364,73112393,0,0,270000,270000,944982,1299799,944982,0,,48689835,48689835,720057,0,10027629,N,9307572,N,N,62068048,60677058,0.977589274275228,63702931,61374489,0.963448432223629,20525,Aa2,26.01,1755693878,3141560761.04,160,0.107950116913484,35.53,2529.41,Capital Region COG
BOLTON,BP,2010,12,12,T,18185922,1368494,20408661,678010,4500629,13158775,18302638,12866459,961856,17989519,0,0,267828,267828,45291,-280837,45291,0,,2738180,2738180,71016,956644,1384102,N,1313086,N,N,13161954,13000677,0.987746728183369,13402778,13084122,0.976224630446016,4977,Aa3,14.41,467097785,669352492.86,23,0.073228081961706,28.18,839.24,Capital Region COG
BOZRAH,BP,2010,13,13,NL,5399695,1402743,7012438,29773,1990901,4852536,7054131,5370163,315375,7345993,0,0,0,0,-291862,-351822,-291862,0,,1080357,1080357,16826,0,403000,Y,386174,N,N,4888956,4752713,0.972132496181189,5125347,4806017,0.937695925758783,2631,A1,19.96,243606880,326361925.03,13,0.081915563957152,20.25,387.81,Southeastern CT COG
BRANFORD,KE,2010,14,14,NH,82529238,33513475,116278722,1549734,7974118,78509702,91623457,50550551,5834651,88349320,397112,397112,3677397,3677397,-6148,853601,-6148,0,,40393993,40393993,362652,2900000,17776116,N,17413464,N,Y,78567255,77203372,0.98264056698939,80946784,77967396,0.963193250518761,28000,Aa1,21.99,3329767016,5401901383.04,89,0.081010401188707,23.58,3581.27,South Central Regional COG
BRIDGEPORT,BP,2010,15,15,F,444946155,-297902514,150204817,5282902,185155817,268637066,472291637,205130582,73308701,467902163,500000,500000,0,0,4889474,147651,4889474,0,,666802000,666802000,30876,4000000,15642227,N,15611351,N,Y,266479224,260055196,0.975892949913424,296629871,262654439,0.885461865706708,144355,A1,16,6741299992,9673049562.86,4118,0.135860979462875,38.74,21022.7,Greater Bridgeport RPA
BRIDGEWATER,JG,2010,16,16,L,3854219,4435829,9048128,-33897,156725,6318428,6689005,4678658,0,6597324,0,0,39172,39172,52509,-206912,52509,0,338430.05,0,338430.05,0,378519,1263695,N,1263695,N,N,6275770,6249242,0.995772948976779,6413153,6298011,0.98204596085576,1725,,16.23,413262998,529125497.04,2,0.06610703043022,15.2,232.07,Housatonic Council of Elected Ofcls
BRISTOL,JG,2010,17,17,H,206272000,27173000,234100000,-4818000,60286000,111833000,178178000,95615000,6862000,146669000,2053000,2053000,33081000,33081000,481000,-1462000,481000,0,,54223000,54223000,749000,7427000,28072000,N,27323000,N,N,110520000,108912000,0.985450597176982,113693000,110790000,0.97446632598313,60510,Aa2,26.51,4244138020,6164454137.14,875,0.101515063898687,25.99,8783.64,Central CT RPA
BROOKFIELD,JG,2010,18,18,F,30004931,-1685745,28319186,-632061,4975659,48180787,54098721,36461447,4600044,53001704,2316104,2316104,1193301,1193301,2219820,-266040,2219820,0,,31189470,31189470,0,0,4327757,Y,4327757,N,N,47990624,47501986,0.989818052792979,48631471,47887854,0.984709140301349,16470,Aa1,19.8,2565298098,3320021555.79,14,0.075695047784535,18.86,2988.01,Housatonic Council of Elected Ofcls
BROOKLYN,BP,2010,19,19,W,21765259,3483970,25607692,1086610,8629250,11430102,21428948,16296384,3318167,21151675,56,56,99959,99959,177370,446743,177370,0,,5431106,5431106,99819,0,1602818,Y,1502999,N,N,11415926,11068644,0.969579165106711,12135458,11389288,0.938513239467353,8228,A1,28.97,510468050,747131497.13,57,0.100868725868726,22.29,1312.93,Northeastern CT COG
BURLINGTON,BP,2010,20,20,H,10669076,6925914,17774905,-430051,4683862,23735110,29566991,21646385,691294,29183629,0,0,95270,95270,288092,198232,288092,0,15914065.59,4646030,20560095.59,0,196472,3607870,N,3607870,N,N,23432886,23137930,0.987412732686874,24161111,23525134,0.973677659110957,9329,Aa2,29.79,909935083,1300774610,8,0.07209175314036,25.82,1874.2,Central CT RPA
CANAAN,BP,2010,21,21,L,3707923,1393119,5274763,-32140,584938,3527435,4235861,2787951,97585,4127686,0,0,96728,96728,11447,73848,11447,0,318053.72,668945,986998.72,0,111173,866472,N,866472,N,N,3502634,3461317,0.988204020174531,3568603,3492771,0.978750228030409,1238,,32.94,186286162,280134345.38,4,0.073206442166911,19,136.1,Northwestern CT COG
CANTERBURY,JG,2010,22,22,W,8772022,3655807,12439103,200653,6034454,7871144,14068360,11317718,197372,13742249,0,0,284861,284861,41250,244606,41250,0,,705000,705000,26031,447332,2509394,N,2483363,N,N,7811809,7613257,0.974583095925668,8134303,7784383,0.956982177821505,5144,A1,39.89,355207211,522399471.8,32,0.091523341523342,21.95,770.26,Northeastern CT COG
CANTON,JG,2010,23,23,H,63191805,10579419,73804276,1718863,5376525,28397389,34670508,23152901,2435439,33633334,0,0,928109,928109,109065,647189,109065,0,,14390407,14390407,553498,0,5066957,N,4513459,N,N,28383440,28060523,0.988623049214612,29101208,28251639,0.970806400888925,10337,Aa2,24.56,1111056805,1587849750,12,0.075465369780312,25.64,1793.32,Capital Region COG
CHAPLIN,BP,2010,24,24,W,5245967,841041,6136289,108843,2722137,5173448,7950049,5945322,323728,7679833,0,0,231825,231825,38391,-154066,38391,0,0,445858,445858,59103,40000,697215,N,638112,N,N,5085070,5004852,0.9842247992653,5220653,5109883,0.978782347725467,2311,,19.440000000000001,169562995,242380057.14,15,0.082100591715976,29.85,290.45,Windham Region COG
CHESHIRE,JG,2010,25,25,NH,98447456,16328991,114955067,6605972,20817817,73420198,96519779,63459814,10715041,96899377,1453185,10807756,1034959,10263073,38628,-1520149,165085,0,,63484576,63484576,1559700,600000,10634630,N,9074930,N,Y,73095410,72847492,0.996608295924464,73348199,73066750,0.996162836936187,29260,Aa1,32.909999999999997,2825089390,4074658490,32,0.071965846716812,26.05,4943.37,COG of Central Naugatuck Valley
CHESTER,JG,2010,26,26,M,8230615,2997054,11511440,997784,1304347,10538182,12271177,8781327,472693,12121077,133602,133602,511115,511115,-227413,-100703,-227413,0,4637407.15,2247671,6885078.15,118021,0,1517603,N,1399582,N,N,10517242,10371436,0.9861364795067,10775223,10498470,0.974315798383013,3991,Aa3,16.03,498965018,721675968.57,6,0.064379500211775,21.11,574.04,CT River Estuary RPA
CLINTON,KE,2010,27,27,M,40365771,3858722,44224493,459157,10091741,36324724,47289809,31113649,1812756,44826157,0,0,1283400,1283400,1180252,-935548,1180252,0,,14983720,14983720,505232,250000,6934181,N,6428949,N,N,36123678,35878022,0.99319958504779,36681885,36130443,0.984966912142056,13254,Aa2,16.28,1653337779,2295657543.63,46,0.079271421241662,21.88,2069.2199999999998,CT River Estuary RPA
COLCHESTER,JG,2010,28,28,NL,61620441,5672904,67293345,-2209960,16597510,30313052,48331453,35813628,3869073,48643210,0,0,216977,216977,-528734,-912841,-528734,0,,21000000,21000000,61985,340824,3377284,N,3315299,N,N,30066131,29550407,0.982847011476136,31315886,29993435,0.957770602434815,16092,Aa2,49.06,1268302215,1752979788.63,76,0.082172551560307,23.65,3237.3,Southeastern CT COG
COLEBROOK,BP,2010,29,29,L,4303263,1789208,6097775,-63367,833648,4506416,5416184,3754811,181649,5349388,6553,6553,80500,80500,-7151,-51296,-7151,0,764256.73,812035,1576291.73,0,3785,1153425,N,1153425,N,N,4475346,4404160,0.984093743813327,4612496,4472119,0.969565935666936,1486,A1,31.49,185599495,218508765.1,0,0.04911838790932,24.1,255.02,Litchfield Hills Cncl of Elected Ofcls
COLUMBIA,BP,2010,30,30,T,9633346,4528699,14185022,1085382,4203162,12125389,16621588,11517470,919133,15457273,86665,86665,329076,329076,921904,-119107,921904,0,,3675000,3675000,94393,0,2047649,N,1953256,N,N,12132579,11939877,0.984116979580351,12429704,12048173,0.969304900583312,5495,Aa2,21.35,526321858,725100730.92,18,0.080087939698492,23.01,785.83,Windham Region COG
CORNWALL,BP,2010,31,31,L,5832510,2301019,8378929,253036,667164,5479863,6229055,4082378,376082,5981198,0,0,323500,323500,-75643,-310434,-75643,0,453227.13,2070000,2523227.13,0,100000,1061606,N,1061606,N,N,5457759,5380995,0.985934886461641,5629651,5408538,0.96072349777988,1419,Aa2,46,452781370,582171240.62,0,0.072409488139825,12.05,182.19,Northwestern CT COG
COVENTRY,JG,2010,32,32,T,94010187,12267159,106279815,718804,10890396,24691171,36136150,25029076,3086120,36418782,691036,11737605,162227,11073342,246177,166847,381631,0,,21291722,21291722,368090,0,3037517,N,2669427,N,N,24607427,24099128,0.97934367538711,25456967,24513875,0.962953481457551,12453,Aa3,37.72,858198386,1390215935.06,29,0.083115093039283,28.54,1987.86,Windham Region COG
CROMWELL,JG,2010,33,33,M,77588875,16499040,94097910,-940161,6033567,35645513,42576360,26596305,3775777,42786330,350092,350092,1180906,1180906,-1040784,-477405,-1040784,0,,33980204,33980204,24160,226111,4221184,N,4197024,N,N,35490099,35217856,0.992329043658064,36381903,35466615,0.974842217571742,14038,,12.39,1359256874,1881859721.72,43,0.080137238083568,26.16,2050.33,Midstate RPA
DANBURY,JG,2010,34,34,F,144512568,405691,146449417,-5638078,40879804,154994853,205565583,117631730,13831430,209804077,570000,41378007,349361,38045524,-4017855,-670708,-906011,0,,139086544,139086544,1653536,2500000,25404384,N,23750848,N,N,155260859,153187028,0.986642924602137,162169599,155591294,0.959435646134884,81056,Aa1,42.11,7142185313,9919097244.31,529,0.078178376378947,21.66,10255.040000000001,Housatonic Council of Elected Ofcls
DARIEN,JG,2010,35,35,F,86655778,30480125,117135903,-261091,10282461,98967727,114202224,76971943,10174238,111849775,1216222,13672292,3021992,15329956,546679,-1507672,694785,0,,86414211,86414211,129936,1100000,16774932,N,16644996,N,N,98639743,97917015,0.992673054713859,100095539,98530991,0.984369453268042,20750,Aaa,12.86,6602119755,9431803792.86,4,0.062793677915421,11.37,4794.63,South Western RPA
DEEP RIVER,BP,2010,36,36,M,10159874,-191205,9968669,384287,2191144,11290214,14366992,9469760,882925,14298261,43947,43947,40399,40399,72279,-368467,72279,0,5332246.22,267420,5599666.22,0,0,411510,N,411510,N,N,11172317,11003160,0.984859273148086,11497829,11192032,0.97340393564733,4625,,13.55,514812686,752337779.98,4,0.080280592361652,21.73,654.64,CT River Estuary RPA
DERBY,BP,2010,37,37,NH,57925164,-12094303,45834691,9997213,12218692,23913482,37130787,20036381,1807132,36330768,0,0,143300,143300,656719,-1815501,656719,0,,11826360,11826360,0,0,2185140,N,2185140,N,N,23872842,23219129,0.972616875694984,25115408,23680991,0.942886972013355,12909,Aa3,4.98,908981968,1251941463.12,174,0.107358594179023,26.4,1580.69,Valley COG
DURHAM,BP,2010,38,38,M,40021564,4051631,44147238,-1230199,3892833,20409758,24693067,20032348,0,25148721,252305,252305,101350,101350,-304699,-672838,-304699,0,12066042.72,0,12066042.72,74043,0,2224500,N,2150457,N,N,20428866,20193606,0.988483942280497,20762339,20385197,0.981835283587268,7406,,23.6,780169188,1095711674.38,3,0.065949485500468,26.2,1371.68,Midstate RPA
EAST GRANBY,JG,2010,39,40,H,21353409,2970730,25231180,-1059898,2402943,14643443,17372347,12761001,573981,17706634,0,0,306670,306670,-640957,650806,-640957,0,,865000,865000,458982,0,2822715,Y,2363733,N,N,14485941,14324903,0.988883152292281,14863641,14514129,0.976485438527478,5155,Aa2,17.48,548558924,814818201.43,10,0.069969869434215,26.3,939.07,Capital Region COG
EAST HADDAM,KE,2010,40,41,M,49660747,14416743,64517870,613886,6102332,20045882,27147818,19179294,2411550,27501491,1594838,1594838,2182956,2182956,-941791,-730249,-941791,0,,17433061,17433061,0,801439,5203543,N,5203543,N,N,19953985,19776828,0.991121723304894,20219553,19935846,0.985968680910008,9141,Aa2,54.33,973292598,1314533886.81,14,0.073625349487419,20.55,1424,Midstate RPA
EAST HAMPTON,JG,2010,41,42,M,66932674,10107050,77384678,1674466,11353306,27402725,39408105,27509315,1989509,38114208,0,0,1804763,1804763,-510866,22842,-510866,0,,8855565,8855565,0,0,4083407,N,4083407,N,N,27465527,26889271,0.979018935263831,28149857,27168481,0.965137442794114,12999,Aa3,35.590000000000003,1141056140,1636772456.56,48,0.082889526150485,24.01,2040.47,Midstate RPA
EAST HARTFORD,KE,2010,42,43,H,116335000,-13234000,103297000,-8235000,51585000,98458000,156929000,84284000,9539000,158135000,399000,9226000,17000,8718000,-824000,-1567000,-698000,0,,61945000,61945000,906000,0,12944000,N,12038000,N,Y,97618000,95398000,0.977258292528017,100667000,97489000,0.968430568110702,51318,Aa2,18.02,3107157886,4390028134.5,1105,0.116451152056852,31.67,8009.39,Capital Region COG
EAST HAVEN,BP,2010,43,44,NH,35996442,-7351451,30446812,-8142680,22884200,51611706,76940939,44137267,7635801,78565834,0,0,787233,787233,-2412128,-3688664,-2412128,0,,52789047,52789047,0,0,-5197136,N,-5197136,N,Y,50736871,49575213,0.977104264076514,52733438,50297043,0.953797910919444,29267,A3,12.26,2240900844,2968044076.6,268,0.101991984207693,22.85,3803.24,South Central Regional COG
EAST LYME,JG,2010,44,45,NL,51200205,23280043,74480248,14389612,11178281,43941520,59648534,41427641,6653324,62157649,2068562,19087894,105000,16442060,-545553,-387333,136719,0,,44814490,44814490,289266,0,4092278,N,3803012,N,N,43868665,43271547,0.9863885076056,44712499,43696498,0.977277024932111,19184,Aa2,34.03,2295022670,3192934418.59,53,0.077584483103379,19.186,2878.61,Southeastern CT COG
EAST WINDSOR,KE,2010,45,47,H,39339813,6519065,45870825,-178581,7305528,23540079,31483930,19351289,1791621,31904255,518677,518677,316702,316702,-218350,-2203551,-218350,0,,8863334,8863334,0,0,2886362,N,2886362,N,N,23167459,22502735,0.971307859010347,24478270,23044472,0.94142568081813,11201,Aa2,26.28,1076912916,1557733170.59,96,0.098423456608222,21.748799999999999,1475.86,Capital Region COG
EASTFORD,BP,2010,46,39,W,2513279,915983,3652164,-85131,1630796,3240144,4939073,3745816,0,4827580,241,241,38800,38800,72934,-161083,72934,0,,44261,44261,1336,0,1075378,N,1074042,N,N,3214283,3145489,0.978597404148919,3311189,3202747,0.96724983080096,1751,,28.88,158275457,227584489.63,3,0.075528700906344,20.27,236.52,Northeastern CT COG
EASTON,KE,2010,47,46,F,53742220,6108803,59851023,1290605,2035401,36066760,39495421,25004081,4006443,40074675,100000,101450,235803,235803,-715057,-621302,-713607,0,9883860.1,28845000,38728860.1,0,589200,4208884,N,4208884,N,N,35863290,35486703,0.98949937387228,36458793,35758156,0.980782770290832,7484,Aaa,27.42,1662884678,1828719690.65,0,0.065292096219931,21.7,1555.96,Greater Bridgeport RPA
ELLINGTON,JG,2010,48,48,T,43364687,5888381,49877347,1074272,13520745,31414992,46701632,31017970,2491297,46382613,357284,4799532,122236,3848305,554067,-626963,1270246,0,,15264116,15264116,131935,3940225,7237868,N,7105933,Y,N,31270709,30905543,0.988322426587769,32264168,31399036,0.973185981426826,15679,Aa3,34.049999999999997,1244714589,1852462870.81,41,0.073293488518402,25,2669.99,Capital Region COG
ENFIELD,JG,2010,49,49,H,186149000,27376000,215430000,-463000,36824000,75870000,116126000,65002000,5475000,115746000,5201000,17677000,6308000,18935000,-727000,-3071000,-878000,0,,30310000,30310000,4237000,2500000,18264000,N,14027000,N,N,75353000,73940000,0.981248258198081,78847000,75060000,0.951970271538549,44635,Aa2,33.380000000000003,3166524090,4284864471.74,339,0.092512643394597,23.88,6215.03,Capital Region COG
ESSEX,JG,2010,50,50,M,13651546,2689422,16340968,-891219,1320694,18908813,20772484,14400640,720588,20544950,0,0,272300,272300,-44766,-82901,-44766,0,7186866.63,10572098,17758964.63,485369,0,2837184,N,2351815,N,N,18791825,18567871,0.988082370924591,19104511,18743897,0.981124143926008,6684,Aa2,10.36,1113486769,1601097690,6,0.06957452502007,16.95,986.29,CT River Estuary RPA
FAIRFIELD,BP,2010,51,51,F,249899000,1315000,251633000,6737000,20383000,224354000,258564000,151473000,23685000,253636000,394000,394000,3177000,3177000,2145000,-321000,2145000,0,,205307000,205307000,1076000,0,13362000,N,12286000,N,Y,222627000,220080000,0.988559339163713,226511000,222852000,0.983846259122074,59413,Aaa,30.03,11932514731,15496392315.83,65,0.076013054120207,18.899999999999999,10114.33,Greater Bridgeport RPA
FARMINGTON,KE,2010,52,52,H,70786142,13980396,84766538,2109256,10452519,73010027,85685005,53821985,9225806,85526004,0,17228226,705375,17786121,-546374,-572767,-398894,0,,63114466,63114466,102654,500000,8068406,N,7965752,N,Y,72659322,72459534,0.997250345936341,72980986,72658571,0.995582205480205,25368,Aaa,28.06,3676303178,5396675900.26,34,0.073543891539802,19.760000000000002,4143.2700000000004,Capital Region COG
FRANKLIN,BP,2010,53,53,NL,7938633,753136,8700266,-209678,1564807,4126343,5888366,4307144,257222,5959112,25000,25000,30000,30000,-75746,-188333,-75746,0,,1711250,1711250,0,0,494483,N,494483,N,N,3992520,3941534,0.987229619388256,4149186,4070633,0.981067852827036,1922,,19.510000000000002,208012753,299180590,4,0.076923076923077,19.29,302.88,Southeastern CT COG
GLASTONBURY,JG,2010,54,54,H,170298270,41122293,211420563,6045377,15767332,119029288,139340301,92864175,10762160,138708507,1743514,1743514,3997082,3997082,-1621774,55517,-1621774,0,,82847860,82847860,340646,1860183,18003863,N,17663217,N,N,118936203,117896533,0.991258590960735,119984894,118772634,0.989896561478814,34467,Aaa,51.37,4105519780,5953642196.43,61,0.065519419008525,29.05,6999.18,Capital Region COG
GOSHEN,BP,2010,55,55,L,3844884,2300836,6563891,-198845,343444,8665315,9195123,6833904,0,9234981,51100,51100,281125,281125,-269883,-218056,-269883,0,2054617.1,0,2054617.1,0,404207,1881733,N,1881733,N,N,8653800,8602458,0.994067115024613,8721623,8643476,0.991039855769964,2982,,43.66,601286304,813661999.93,6,0.077770576798445,14.4,432.76,Litchfield Hills Cncl of Elected Ofcls
GRANBY,KE,2010,56,56,H,46214196,9319680,56324631,-1302659,9158803,30666611,40700501,28313332,4302934,40862233,10037,10037,1098793,1098793,-1250488,-6742,-1250488,0,,29045334,29045334,346741,1655000,4436008,N,4089267,N,N,30507400,30232680,0.990994971711781,30909463,30494463,0.986573691040831,11292,Aa2,40.69,1042797363,1482340791.83,17,0.070169967254015,29.46,2258.61,Capital Region COG
GREENWICH,KE,2010,57,57,F,382696977,21065734,403762711,34976365,20301905,282798004,329454737,135277746,7898966,297273862,2548915,2548915,9778407,9778407,24951383,4144707,24951383,0,,80074535,80074535,7710765,0,5077510,N,-2633255,N,N,282807657,280715663,0.992602767470331,286241062,281989910,0.985148350239142,61119,Aaa,47.83,34135985844,43955745675.5,87,0.066145781161308,8.316000000000001,8712.2199999999993,South Western RPA
GRISWOLD,JG,2010,58,58,NL,62249471,-13954941,72194029,13667599,14511708,13814104,31038932,26063194,2405264,32806750,0,0,535600,535600,-2303418,-408166,-2303418,0,,21420000,21420000,602084,600000,4554452,N,3952368,N,N,13640640,13358080,0.979285429422666,14309639,13621575,0.95191604763754,11977,,34.950000000000003,811623913,1113390831.58,121,0.094126900891453,16.75,1897.24,Southeastern CT COG
GROTON,KE,2010,59,59,NL,147045269,36186358,183561120,490145,42969276,74812435,120062813,79363536,6155073,123236612,670251,713864,1432031,1432031,-3935579,60066,-3891966,0,,68309468,68309468,2139367,932201,11900992,N,9761625,N,Y,73703362,72295221,0.98089448077009,76440445,74137396,0.969871329242,40125,Aa2,31.3,4118982177,5650001775.65,414,0.093633341856303,17.95,5221.76,Southeastern CT COG
GROTON (City of),JG,2010,60,501,,18698216,9406900,28177312,1204420,525581,5913531,12736149,0,1141871,15359703,3101624,4840426,0,1713838,478070,474333,503034,0,,5074500,5074500,91645,973606,4939901,N,4848256,N,N,5645133,5598314,0.991706307008179,5919747,5849825,0.988188346562784,,Aa2,,,,,,,,
GUILFORD,KE,2010,61,60,NH,29614350,-5968984,23645366,2966239,8425393,68064571,78413127,52600881,4788369,78555472,0,6055000,197155,6158163,-339500,-1132458,-245508,0,,31750002,31750002,880642,0,3305023,N,2424381,N,Y,63355836,63026349,0.994799421477131,63847106,63263095,0.990852976170917,22411,Aa2,47.05,3458303405,4482204305.67,57,0.066029003394014,20.04,3733.58,South Central Regional COG
HADDAM,KE,2010,62,61,M,15755793,4593719,20955419,390363,1762566,23772257,26029181,19468254,340653,25522195,0,623828,1631707,1631707,-1124721,-278490,-500893,0,10976665.72,294856,11271521.72,0,0,2024803,Y,2024803,N,N,23381525,23079562,0.987085401829008,24689089,23392166,0.947469791210198,8376,,44.03,886795002,1206332485.34,8,0.067276538974652,26.4,1362.02,Midstate RPA
